word;anger;anticipation;disgust;fear;joy;sadness;surprise;trust
acclaim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.586
accolade;0.0;0.562;0.0;0.0;0.586;0.0;0.281;0.508
accompaniment;0.0;0.477;0.0;0.0;0.179;0.0;0.0;0.531
accomplish;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
accomplished;0.0;0.0;0.0;0.0;0.672;0.0;0.0;0.0
accomplishment;0.0;0.0;0.0;0.0;0.594;0.0;0.0;0.0
accord;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.617
account;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.523
accountability;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
accountable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695
accountant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.422
accounts;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.391
accredited;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.672
accurate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625
accursed;0.588;0.0;0.0;0.594;0.0;0.697;0.0;0.0
accusation;0.51;0.0;0.523;0.0;0.0;0.0;0.0;0.0
accused;0.641;0.0;0.0;0.469;0.0;0.0;0.0;0.0
accuser;0.47;0.0;0.0;0.438;0.0;0.0;0.0;0.0
accusing;0.779;0.0;0.0;0.484;0.0;0.0;0.0;0.0
ache;0.0;0.0;0.0;0.0;0.0;0.531;0.0;0.0
achieve;0.0;0.0;0.0;0.0;0.641;0.0;0.0;0.656
achieved;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
achievement;0.0;0.695;0.0;0.0;0.712;0.0;0.0;0.625
aching;0.0;0.0;0.0;0.0;0.0;0.544;0.0;0.0
acquiring;0.0;0.594;0.0;0.0;0.0;0.0;0.0;0.0
acrobat;0.0;0.0;0.0;0.266;0.162;0.0;0.0;0.258
actionable;0.394;0.0;0.211;0.0;0.0;0.0;0.0;0.0
actress;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.305
ada;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.234
adder;0.212;0.0;0.383;0.547;0.0;0.361;0.0;0.0
addict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.172
addresses;0.0;0.289;0.0;0.0;0.0;0.0;0.0;0.0
adhering;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.57
adjudicate;0.0;0.0;0.0;0.297;0.0;0.0;0.0;0.0
adjust;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375
administrative;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.352
admirable;0.0;0.0;0.0;0.0;0.562;0.0;0.0;0.734
admiral;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.594
admiration;0.0;0.0;0.0;0.0;0.734;0.0;0.328;0.703
admire;0.0;0.0;0.0;0.0;0.0;0.0;0.266;0.703
admissible;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.508
admit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.562
admitted;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461
admitting;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.539
admonition;0.0;0.0;0.0;0.469;0.0;0.0;0.0;0.0
adorable;0.0;0.0;0.0;0.0;0.609;0.0;0.0;0.0
adoration;0.0;0.0;0.0;0.0;0.688;0.0;0.0;0.523
adore;0.0;0.477;0.0;0.0;0.667;0.0;0.0;0.578
adrift;0.0;0.422;0.0;0.328;0.0;0.328;0.0;0.0
adultery;0.0;0.0;0.727;0.0;0.0;0.566;0.0;0.0
advance;0.0;0.695;0.0;0.188;0.375;0.0;0.375;0.0
advent;0.0;0.594;0.0;0.0;0.152;0.0;0.0;0.516
adventure;0.0;0.75;0.0;0.0;0.47;0.0;0.0;0.0
adventures;0.0;0.0;0.0;0.0;0.391;0.0;0.0;0.0
adversary;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adverse;0.609;0.0;0.43;0.352;0.0;0.281;0.0;0.0
adversity;0.47;0.0;0.0;0.418;0.0;0.484;0.0;0.0
adverts;0.197;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.617
advisable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
advise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.57
advised;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75
adviser;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.688
advocacy;0.1;0.5;0.0;0.0;0.25;0.0;0.0;0.68
advocate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
aesthetics;0.0;0.0;0.0;0.0;0.455;0.0;0.0;0.0
affection;0.0;0.0;0.0;0.0;0.647;0.0;0.0;0.484
affirm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68
affirmatively;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
afflict;0.0;0.0;0.0;0.562;0.0;0.789;0.0;0.0
affliction;0.0;0.0;0.484;0.557;0.103;0.645;0.0;0.0
affluence;0.0;0.0;0.0;0.0;0.391;0.0;0.0;0.0
affront;0.403;0.0;0.422;0.266;0.0;0.359;0.531;0.0
afraid;0.0;0.0;0.0;0.844;0.0;0.0;0.0;0.0
aftermath;0.359;0.0;0.281;0.469;0.0;0.5;0.0;0.0
aga;0.0;0.0;0.0;0.219;0.0;0.0;0.0;0.359
agape;0.0;0.547;0.0;0.0;0.0;0.0;0.633;0.0
aggravated;0.703;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aggravates;0.719;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aggravating;0.75;0.0;0.0;0.0;0.0;0.5;0.0;0.0
aggravation;0.672;0.0;0.469;0.0;0.0;0.0;0.0;0.0
aggression;0.702;0.0;0.0;0.609;0.0;0.0;0.0;0.0
aggressive;0.667;0.0;0.0;0.703;0.0;0.0;0.0;0.0
aggressively;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aggressor;0.656;0.0;0.0;0.812;0.0;0.0;0.0;0.0
agh;0.281;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aghast;0.0;0.0;0.625;0.641;0.0;0.0;0.805;0.0
aghhh;0.0;0.0;0.0;0.438;0.0;0.0;0.0;0.0
agitated;0.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0
agitation;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0
agonizing;0.0;0.0;0.0;0.703;0.0;0.0;0.0;0.0
agony;0.465;0.0;0.0;0.75;0.0;0.9;0.0;0.0
agoraphobia;0.0;0.0;0.0;0.688;0.0;0.0;0.0;0.0
agreeable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695
agreed;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
agreeing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68
agreement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.727
ahhh;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0
ahhhhhhhh;0.0;0.0;0.0;0.312;0.0;0.0;0.0;0.0
ail;0.0;0.0;0.0;0.0;0.0;0.469;0.0;0.0
ailing;0.0;0.0;0.0;0.547;0.0;0.656;0.0;0.0
airport;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
airs;0.0;0.0;0.195;0.0;0.0;0.0;0.0;0.0
akin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.414
aksesoris;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32
aku;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.242
alarm;0.0;0.0;0.0;0.688;0.0;0.0;0.852;0.0
alarming;0.0;0.0;0.0;0.656;0.0;0.0;0.773;0.0
alas;0.0;0.0;0.0;0.0;0.0;0.302;0.0;0.0
alb;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.234
alcoholism;0.338;0.0;0.562;0.5;0.0;0.609;0.0;0.0
alertness;0.0;0.648;0.0;0.216;0.0;0.0;0.5;0.0
alerts;0.0;0.609;0.0;0.276;0.0;0.0;0.594;0.0
alien;0.0;0.0;0.438;0.422;0.0;0.0;0.0;0.0
alienate;0.485;0.0;0.453;0.0;0.0;0.0;0.0;0.0
alienated;0.0;0.0;0.0;0.0;0.0;0.727;0.0;0.0
alienation;0.576;0.0;0.375;0.609;0.0;0.685;0.0;0.0
alive;0.0;0.461;0.0;0.0;0.531;0.0;0.0;0.5
allegation;0.531;0.0;0.0;0.0;0.0;0.0;0.0;0.0
allegiance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.711
alliance;0.0;0.0;0.0;0.0;0.368;0.0;0.0;0.727
allied;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695
alligator;0.0;0.0;0.0;0.727;0.0;0.0;0.0;0.0
allsmiles;0.0;0.0;0.0;0.0;0.828;0.0;0.0;0.0
allure;0.0;0.688;0.0;0.0;0.453;0.0;0.406;0.0
ally;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75
almighty;0.0;0.0;0.0;0.0;0.516;0.0;0.0;0.0
aloha;0.0;0.438;0.0;0.0;0.484;0.0;0.0;0.0
alone;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0
alreadyyyyy;0.0;0.0;0.0;0.14;0.0;0.0;0.0;0.0
altercation;0.729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
amaze;0.0;0.0;0.0;0.0;0.0;0.0;0.742;0.0
amazedness;0.0;0.0;0.0;0.0;0.0;0.0;0.719;0.0
amazement;0.0;0.0;0.0;0.0;0.0;0.0;0.781;0.0
amazingly;0.0;0.0;0.0;0.0;0.703;0.0;0.648;0.0
ambassador;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
ambition;0.0;0.617;0.0;0.0;0.578;0.0;0.0;0.586
ambulance;0.0;0.0;0.0;0.484;0.0;0.0;0.0;0.555
ambush;0.661;0.0;0.0;0.688;0.0;0.0;0.883;0.0
amen;0.0;0.0;0.0;0.0;0.424;0.0;0.0;0.516
amicable;0.0;0.0;0.0;0.0;0.469;0.0;0.0;0.0
ammonia;0.0;0.0;0.422;0.0;0.0;0.0;0.0;0.0
amnesty;0.0;0.0;0.0;0.0;0.328;0.0;0.0;0.0
amortization;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.414
amour;0.0;0.555;0.0;0.0;0.607;0.0;0.0;0.508
amphetamines;0.0;0.0;0.398;0.0;0.0;0.0;0.0;0.0
amuse;0.0;0.0;0.0;0.0;0.788;0.0;0.0;0.0
amused;0.0;0.0;0.0;0.0;0.766;0.0;0.0;0.0
amusement;0.0;0.0;0.0;0.0;0.719;0.0;0.0;0.0
amusing;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0
anaconda;0.0;0.0;0.383;0.75;0.0;0.0;0.0;0.0
analyst;0.0;0.312;0.0;0.0;0.0;0.0;0.0;0.531
anarchism;0.714;0.0;0.0;0.688;0.0;0.0;0.0;0.0
anarchist;0.765;0.0;0.0;0.75;0.0;0.0;0.0;0.0
anarchy;0.636;0.0;0.0;0.75;0.0;0.0;0.0;0.0
anathema;0.485;0.0;0.547;0.422;0.0;0.562;0.0;0.0
ancestral;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.547
anchorage;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
aneka;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.352
angel;0.0;0.438;0.0;0.0;0.594;0.0;0.32;0.625
angelic;0.0;0.0;0.0;0.0;0.688;0.0;0.0;0.586
anger;0.811;0.0;0.0;0.0;0.0;0.0;0.0;0.0
angered;0.916;0.0;0.0;0.0;0.0;0.0;0.0;0.0
angermanagement;0.469;0.0;0.0;0.0;0.0;0.0;0.0;0.0
angina;0.0;0.0;0.0;0.578;0.0;0.0;0.0;0.0
angling;0.0;0.578;0.0;0.0;0.0;0.0;0.0;0.0
angriest;0.864;0.0;0.0;0.0;0.0;0.0;0.0;0.0
angry;0.824;0.0;0.469;0.0;0.0;0.0;0.0;0.0
angrytweet;0.812;0.0;0.0;0.0;0.0;0.0;0.0;0.0
angst;0.0;0.0;0.0;0.0;0.0;0.598;0.0;0.0
anguish;0.5;0.0;0.0;0.703;0.0;0.902;0.0;0.0
animated;0.0;0.0;0.0;0.0;0.515;0.0;0.0;0.0
animosity;0.652;0.0;0.484;0.469;0.0;0.438;0.0;0.0
animus;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
annihilate;0.898;0.0;0.0;0.953;0.0;0.0;0.0;0.0
annihilated;0.865;0.0;0.0;0.859;0.0;0.828;0.0;0.0
annihilation;0.912;0.0;0.0;0.875;0.0;0.828;0.0;0.0
announcement;0.0;0.734;0.0;0.0;0.0;0.0;0.0;0.0
annoy;0.52;0.0;0.336;0.0;0.0;0.0;0.0;0.0
annoyance;0.422;0.0;0.32;0.0;0.0;0.0;0.0;0.0
annoyed;0.485;0.0;0.0;0.0;0.0;0.0;0.0;0.0
annoyin;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
annoying;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0
annoys;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
annulment;0.0;0.0;0.0;0.0;0.0;0.44;0.0;0.0
anomaly;0.0;0.0;0.0;0.359;0.0;0.0;0.633;0.0
answerable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.531
antagonism;0.609;0.0;0.0;0.0;0.0;0.0;0.0;0.0
antagonist;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
antagonistic;0.606;0.0;0.477;0.0;0.0;0.0;0.0;0.0
anthrax;0.0;0.0;0.766;0.859;0.0;0.6;0.0;0.0
antichrist;0.656;0.0;0.68;0.641;0.0;0.0;0.0;0.0
anticipate;0.0;0.82;0.0;0.0;0.0;0.0;0.0;0.0
anticipation;0.0;0.859;0.0;0.0;0.0;0.0;0.0;0.0
anticipatory;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
antidote;0.0;0.391;0.0;0.0;0.0;0.0;0.0;0.539
antifungal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.266
antipathy;0.406;0.0;0.453;0.0;0.0;0.0;0.0;0.0
antiseptic;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.422
antisocial;0.344;0.0;0.391;0.324;0.0;0.531;0.0;0.0
antithesis;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
antsy;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0
anxiety;0.344;0.609;0.0;0.594;0.0;0.5;0.0;0.0
anxietyattack;0.0;0.0;0.0;0.797;0.0;0.0;0.0;0.0
anxious;0.0;0.641;0.0;0.518;0.0;0.0;0.0;0.0
apache;0.0;0.0;0.0;0.281;0.0;0.0;0.0;0.0
apathetic;0.0;0.0;0.0;0.0;0.0;0.438;0.0;0.0
apathy;0.0;0.0;0.0;0.0;0.0;0.281;0.0;0.0
aphid;0.0;0.0;0.453;0.0;0.0;0.0;0.0;0.0
apocalypse;0.0;0.0;0.0;0.844;0.0;0.0;0.0;0.0
apologetic;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
apologize;0.0;0.0;0.0;0.0;0.0;0.37;0.0;0.477
apostle;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.57
apostolic;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.562
appalling;0.0;0.0;0.586;0.562;0.0;0.0;0.0;0.0
apparition;0.0;0.0;0.0;0.547;0.0;0.0;0.633;0.0
appeal;0.0;0.531;0.0;0.0;0.0;0.0;0.0;0.0
appendicitis;0.0;0.0;0.0;0.547;0.0;0.438;0.0;0.0
applaud;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.562
applause;0.0;0.0;0.0;0.0;0.621;0.0;0.406;0.539
applicant;0.0;0.602;0.0;0.0;0.0;0.0;0.0;0.0
appreciated;0.0;0.0;0.0;0.0;0.682;0.0;0.0;0.0
appreciates;0.0;0.0;0.0;0.0;0.703;0.0;0.0;0.0
appreciation;0.0;0.0;0.0;0.0;0.656;0.0;0.0;0.617
apprehend;0.0;0.0;0.0;0.562;0.0;0.0;0.0;0.0
apprehension;0.0;0.0;0.0;0.453;0.0;0.0;0.0;0.0
apprehensive;0.0;0.547;0.0;0.578;0.0;0.0;0.0;0.0
apprentice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.422
approaching;0.0;0.688;0.0;0.0;0.0;0.0;0.0;0.0
approbate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.484
approbation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.527
approval;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.758
approve;0.0;0.0;0.0;0.0;0.453;0.0;0.0;0.68
approved;0.0;0.0;0.0;0.0;0.486;0.0;0.0;0.633
approvement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.617
approving;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695
aquapix;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.305
arbiter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.484
arbitration;0.0;0.477;0.0;0.0;0.0;0.0;0.0;0.0
arbitrator;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.438
archaeology;0.0;0.344;0.0;0.0;0.0;0.0;0.0;0.0
architecture;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.539
ardent;0.0;0.5;0.0;0.0;0.25;0.0;0.0;0.0
areyoukidding;0.468;0.0;0.0;0.0;0.0;0.0;0.0;0.0
areyoukiddingme;0.409;0.0;0.0;0.0;0.0;0.0;0.0;0.0
argh;0.391;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arghh;0.562;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arghhhh;0.547;0.0;0.0;0.0;0.0;0.0;0.0;0.0
argue;0.734;0.0;0.0;0.0;0.0;0.0;0.0;0.0
argument;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
argumentation;0.515;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arguments;0.404;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arid;0.0;0.0;0.0;0.0;0.0;0.203;0.0;0.0
armament;0.47;0.0;0.0;0.656;0.0;0.0;0.0;0.0
armaments;0.0;0.0;0.0;0.636;0.0;0.0;0.0;0.0
armed;0.7;0.0;0.0;0.703;0.0;0.0;0.0;0.0
armor;0.0;0.0;0.0;0.484;0.0;0.0;0.0;0.484
armored;0.0;0.0;0.0;0.469;0.0;0.0;0.0;0.0
armory;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.391
aromatherapy;0.0;0.0;0.0;0.0;0.409;0.0;0.0;0.0
arouse;0.0;0.742;0.0;0.0;0.0;0.0;0.0;0.0
arraignment;0.203;0.0;0.0;0.45;0.0;0.359;0.0;0.0
arrival;0.0;0.695;0.0;0.0;0.0;0.0;0.0;0.0
arrive;0.0;0.594;0.0;0.0;0.0;0.0;0.0;0.0
arrogant;0.461;0.0;0.469;0.0;0.0;0.0;0.0;0.0
arsehole;0.624;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arseholes;0.719;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arsenic;0.0;0.0;0.555;0.703;0.0;0.484;0.0;0.0
arson;0.641;0.0;0.0;0.794;0.0;0.0;0.0;0.0
art;0.0;0.391;0.0;0.0;0.234;0.0;0.172;0.0
artillery;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0
artwork;0.0;0.0;0.0;0.0;0.265;0.0;0.0;0.0
asap;0.0;0.0;0.0;0.191;0.0;0.0;0.0;0.0
ashamed;0.0;0.0;0.438;0.0;0.0;0.719;0.0;0.0
ashes;0.0;0.0;0.0;0.0;0.0;0.377;0.0;0.0
asleeep;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0
asp;0.0;0.0;0.0;0.438;0.0;0.0;0.0;0.0
aspiration;0.0;0.648;0.0;0.0;0.485;0.0;0.391;0.633
aspire;0.0;0.719;0.0;0.0;0.516;0.0;0.0;0.492
aspiring;0.0;0.656;0.0;0.0;0.618;0.0;0.0;0.539
assail;0.594;0.0;0.0;0.578;0.0;0.0;0.602;0.0
assailant;0.691;0.0;0.0;0.703;0.0;0.536;0.0;0.0
assassin;0.703;0.0;0.0;0.875;0.0;0.734;0.0;0.0
assassinate;0.912;0.0;0.0;0.906;0.0;0.0;0.0;0.0
assassination;0.859;0.0;0.0;0.828;0.0;0.797;0.0;0.0
assault;0.859;0.0;0.0;0.891;0.0;0.0;0.0;0.0
assembly;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.484
asserting;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.445
assessment;0.0;0.0;0.0;0.172;0.0;0.0;0.234;0.594
assessor;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375
asshole;0.606;0.0;0.836;0.0;0.0;0.0;0.0;0.0
assignee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.422
assist;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
associate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.469
association;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.516
assurance;0.0;0.391;0.0;0.0;0.0;0.0;0.0;0.703
assure;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.641
assured;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625
assuredly;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
asteroid;0.0;0.0;0.0;0.469;0.0;0.0;0.0;0.0
astonish;0.0;0.0;0.0;0.0;0.0;0.0;0.805;0.0
astonishingly;0.0;0.0;0.0;0.0;0.0;0.0;0.852;0.0
astonishment;0.0;0.0;0.0;0.0;0.547;0.0;0.805;0.0
astound;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.0
astray;0.0;0.0;0.0;0.32;0.0;0.0;0.0;0.0
astrologer;0.0;0.414;0.0;0.0;0.0;0.0;0.0;0.0
astronomer;0.0;0.281;0.0;0.0;0.0;0.0;0.0;0.0
asylum;0.0;0.0;0.0;0.547;0.0;0.0;0.0;0.0
asymmetry;0.0;0.0;0.133;0.0;0.0;0.0;0.0;0.0
atherosclerosis;0.0;0.0;0.0;0.531;0.0;0.5;0.0;0.0
athlete;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.414
atone;0.0;0.359;0.0;0.0;0.197;0.0;0.0;0.438
atpeace;0.0;0.0;0.0;0.0;0.727;0.0;0.0;0.0
atrocious;0.706;0.0;0.617;0.0;0.0;0.0;0.0;0.0
atrocity;0.814;0.0;0.734;0.672;0.0;0.859;0.0;0.0
atrophy;0.0;0.0;0.555;0.438;0.0;0.719;0.0;0.0
attack;0.853;0.0;0.0;0.797;0.0;0.0;0.0;0.0
attacking;0.865;0.0;0.547;0.859;0.0;0.531;0.648;0.0
attainable;0.0;0.578;0.0;0.0;0.0;0.0;0.0;0.0
attempt;0.0;0.562;0.0;0.0;0.0;0.0;0.0;0.0
attendance;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
attendant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461
attentionseeker;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
attentionseekers;0.163;0.0;0.0;0.0;0.0;0.0;0.0;0.0
attentive;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.617
attenuation;0.0;0.0;0.0;0.0;0.0;0.344;0.0;0.0
attest;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.586
attestation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
attorney;0.152;0.0;0.0;0.188;0.0;0.0;0.0;0.352
attraction;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.492
auction;0.0;0.539;0.0;0.0;0.0;0.0;0.0;0.0
audience;0.0;0.357;0.0;0.0;0.0;0.0;0.0;0.0
audition;0.0;0.0;0.0;0.156;0.0;0.0;0.0;0.0
auditions;0.0;0.0;0.0;0.266;0.0;0.0;0.0;0.0
auditor;0.0;0.0;0.0;0.297;0.0;0.0;0.0;0.555
aunt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461
aura;0.0;0.0;0.0;0.0;0.493;0.0;0.0;0.0
auspices;0.0;0.586;0.0;0.0;0.0;0.0;0.0;0.0
auspicious;0.0;0.484;0.0;0.0;0.391;0.0;0.0;0.0
austere;0.0;0.0;0.0;0.47;0.0;0.359;0.0;0.0
